symbol,date,set,setupId,type,readyTime,entryTime,entryPrice,stop,t1,t2,exitTime,exitReason,mfeR,maeR,R,minutesHeld,quality,readyScore
"ABBV","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 12:43@260.6|13:02","RECLAIM_CONTINUATION","13:12","13:13",260.91,260.44,264.25,262.07,"14:42","time",1.02,-0.89,0.45,89,"Good",6
"ADBE","2026-09-04","BLIND","RECLAIM_CONTINUATION|שפל 14:41@268.13|14:37","RECLAIM_CONTINUATION","14:50","14:51",268.52,267.9,269.46,269.48,"15:29","stop",0.62,-1.14,-1,38,"Good",6
"ADI","2026-09-01","BLIND","RECLAIM_CONTINUATION|שפל 15:21@353.76|15:40","RECLAIM_CONTINUATION","15:55","15:56",354.08,353.34,356.44,355.84,"15:59","close",0.76,-0.47,0.69,3,"Good",6
"AMT","2026-09-01","BLIND","RECLAIM_CONTINUATION|VWAP@175.52|15:35","RECLAIM_CONTINUATION","15:37","15:38",175.66,175.44,175.99,176.97,"15:42","stop",0.18,-1.04,-1,4,"Neutral",6
"AMT","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@173.13|15:34","RECLAIM_CONTINUATION","15:36","15:37",173.31,173.03,173.85,173.9,"15:49","stop",0.58,-1.28,-1,12,"Neutral",8
"AMT","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 13:41@177.95|13:37","RECLAIM_CONTINUATION","14:00","14:01",178.22,177.93,178.74,179.01,"14:02","stop",0.09,-1.23,-1,1,"Good",6
"APH","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@79.16|11:21","RECLAIM_CONTINUATION","11:24","11:25",79.34,79.14,79.88,81.16,"11:28","target1",3.67,-0.08,2.7,3,"Good",6
"APH","2026-09-03","BLIND","RECLAIM_CONTINUATION|שפל 14:06@81.07|14:13","RECLAIM_CONTINUATION","14:30","14:31",81.15,81.05,81.38,81.36,"14:43","target1",3.3,-0.9,2.3,12,"Good",6
"APP","2026-09-02","BLIND","RECLAIM_CONTINUATION|VWAP@309.78|10:03","RECLAIM_CONTINUATION","10:22","10:23",313.1,309.24,319.71,323.21,"11:52","time",0.34,-0.93,0.08,89,"Good",7
"APP","2026-09-02","BLIND","RECLAIM_CONTINUATION|שפל 13:25@318.21|14:05","RECLAIM_CONTINUATION","14:07","14:08",318.79,317.92,319.29,319.81,"14:18","target1",0.76,-0.41,0.57,10,"Good",7
